,M_Bacteroides_fragilis_NCTC_9343_5,M_Lactobacillus_brevis_ATCC_367_0,M_Lactobacillus_plantarum_JDM1_1,M_Lactobacillus_plantarum_WCFS1_2,M_Pseudomonas_aeruginosa_PAO1_3,M_Staphylococcus_aureus_subsp_aureus_USA300_FPR3757_4
M_Bacteroides_fragilis_NCTC_9343_5,,-6.61567097383228,-0.03012355515594578,-11.309766503023504,-3.067529736301566,-0.15339309396383527
M_Lactobacillus_brevis_ATCC_367_0,-0.3975215888525341,,-0.030845909430397,-6.4845767653569055,-3.0675297363015517,-0.15506523648189585
M_Lactobacillus_plantarum_JDM1_1,-5.968125061408266,-0.002830085514595737,,-0.0018500651271011748,-3.067529736301559,-0.1573135425088239
M_Lactobacillus_plantarum_WCFS1_2,1.6261672876510929,-6.350703317494975,-0.030476830527682353,,-3.067529736301566,-0.16229299366613503
M_Pseudomonas_aeruginosa_PAO1_3,4.914125433151199,-0.002689682805026905,-0.031084903123442587,-0.00175895182221808,,-0.15444690313641019
M_Staphylococcus_aureus_subsp_aureus_USA300_FPR3757_4,-1.9372395201162362,-0.0026691802499456685,-0.03058374336376346,-4.33586601338687,-3.0675297363015304,
