attribute,3840,16840,3943,4344,17538,175168,1409,9177,9150,150148,150154,148147,155147,14734,14732,14792,3456,3416,3443,3256,3216,3243,9256,9216,56167,56127,56110,56111,56113,56130,5652,5653,56124,16127,16110,16111,16113,16130,1652,1653,16124,1649,1650,1654,1651,1647,1646,1648,988,88102,10292,98,3134,3132,10232,1478,9574,74101,7479,7478,7985,7885,9675,75101,7579,7578,994,9486,8616,9485,959,59103,103104,104105,103105,5969,69133,5960,6064,14120,2022,2223,2326,9575,9674,5649,5650,5654,5651,5647,5646,5648,191175
entry1,38,168,39,43,175,175,140,9,9,150,150,148,155,147,147,147,34,34,34,32,32,32,92,92,56,56,56,56,56,56,56,56,56,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,9,88,102,9,31,31,102,147,95,74,74,74,79,78,96,75,75,75,9,94,86,94,9,59,103,104,103,59,69,59,60,141,20,22,23,95,96,56,56,56,56,56,56,56,191
entry2,40,40,43,44,38,168,9,177,150,148,154,147,147,34,32,92,56,16,43,56,16,43,56,16,167,127,110,111,113,130,52,53,124,127,110,111,113,130,52,53,124,49,50,54,51,47,46,48,88,102,92,8,34,32,32,8,74,101,79,78,85,85,75,101,79,78,94,86,16,85,59,103,104,105,105,69,133,60,64,20,22,23,26,75,74,49,50,54,51,47,46,48,175
type,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PCrel,PPrel,PPrel,PCrel,PCrel,PCrel,PCrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PCrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,PPrel,GErel,PPrel,GErel,PPrel,GErel,PPrel,GErel,PCrel,PPrel,PPrel,PPrel,PCrel,PPrel,GErel,GErel,GErel,GErel,GErel,GErel,GErel,PPrel
gene1,"['hsa:7042', 'hsa:7043']",['hsa:7040'],['hsa:7046'],"['hsa:4087', 'hsa:4088']",['hsa:185'],['hsa:185'],"['cpd:C21011', 'cpd:C21012', 'cpd:C21013', 'cpd:C21014']",['hsa:177'],['hsa:177'],"['hsa:113026', 'hsa:23236', 'hsa:51196', 'hsa:5330', 'hsa:5331', 'hsa:5332', 'hsa:5333', 'hsa:5335', 'hsa:5336', 'hsa:84812']","['hsa:113026', 'hsa:23236', 'hsa:51196', 'hsa:5330', 'hsa:5331', 'hsa:5332', 'hsa:5333', 'hsa:5335', 'hsa:5336', 'hsa:84812']",['cpd:C00165'],['cpd:C00076'],"['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']","['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']","['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']","['hsa:5594', 'hsa:5595']","['hsa:5594', 'hsa:5595']","['hsa:5594', 'hsa:5595']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:5599', 'hsa:5601', 'hsa:5602']","['hsa:5599', 'hsa:5601', 'hsa:5602']",['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],"['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']","['hsa:4790', 'hsa:5970']",['hsa:177'],['hsa:1729'],"['hsa:5879', 'hsa:998']",['hsa:177'],"['hsa:3265', 'hsa:3845', 'hsa:4893']","['hsa:3265', 'hsa:3845', 'hsa:4893']","['hsa:5879', 'hsa:998']","['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']",['cpd:C00195'],"['hsa:5599', 'hsa:5601', 'hsa:5602']","['hsa:5599', 'hsa:5601', 'hsa:5602']","['hsa:5599', 'hsa:5601', 'hsa:5602']",['hsa:596'],['hsa:581'],['hsa:4846'],"['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']",['hsa:177'],"['hsa:110117499', 'hsa:5290', 'hsa:5291', 'hsa:5293', 'hsa:5295', 'hsa:5296', 'hsa:8503']","['hsa:10000', 'hsa:207', 'hsa:208']","['hsa:110117499', 'hsa:5290', 'hsa:5291', 'hsa:5293', 'hsa:5295', 'hsa:5296', 'hsa:8503']",['hsa:177'],['hsa:3717'],['hsa:6774'],['hsa:5292'],['hsa:6774'],['hsa:3717'],"['hsa:6772', 'hsa:6774']",['hsa:3717'],"['hsa:6776', 'hsa:6777']","['cpd:C21011', 'cpd:C21012', 'cpd:C21013', 'cpd:C21014']",['hsa:177'],['hsa:5579'],"['hsa:5599', 'hsa:5601', 'hsa:5602']",['cpd:C00195'],['hsa:4846'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:3725'],['hsa:183']
gene2,['hsa:7048'],['hsa:7048'],"['hsa:4087', 'hsa:4088']",['hsa:4089'],"['hsa:7042', 'hsa:7043']",['hsa:7040'],['hsa:177'],"['hsa:1536', 'hsa:27035', 'hsa:50507']","['hsa:113026', 'hsa:23236', 'hsa:51196', 'hsa:5330', 'hsa:5331', 'hsa:5332', 'hsa:5333', 'hsa:5335', 'hsa:5336', 'hsa:84812']",['cpd:C00165'],['cpd:C01245'],"['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']","['hsa:5578', 'hsa:5579', 'hsa:5580', 'hsa:5581', 'hsa:5590']","['hsa:5594', 'hsa:5595']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:5599', 'hsa:5601', 'hsa:5602']",['hsa:3725'],"['hsa:4790', 'hsa:5970']","['hsa:4087', 'hsa:4088']",['hsa:3725'],"['hsa:4790', 'hsa:5970']","['hsa:4087', 'hsa:4088']",['hsa:3725'],"['hsa:4790', 'hsa:5970']",['hsa:7040'],['hsa:177'],"['hsa:2277', 'hsa:7422', 'hsa:7423', 'hsa:7424']",['hsa:6347'],['hsa:5054'],['hsa:6401'],['hsa:7412'],['hsa:3383'],['hsa:4313'],['hsa:177'],"['hsa:2277', 'hsa:7422', 'hsa:7423', 'hsa:7424']",['hsa:6347'],['hsa:5054'],['hsa:6401'],['hsa:7412'],['hsa:3383'],['hsa:4313'],"['hsa:3552', 'hsa:3553']",['hsa:3569'],['hsa:3576'],['hsa:7124'],['hsa:2152'],['hsa:1906'],['hsa:7056'],['hsa:1729'],"['hsa:5879', 'hsa:998']","['hsa:5599', 'hsa:5601', 'hsa:5602']","['hsa:1536', 'hsa:27035', 'hsa:50507']","['hsa:5594', 'hsa:5595']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:1536', 'hsa:27035', 'hsa:50507']","['hsa:5599', 'hsa:5601', 'hsa:5602']",['hsa:2308'],['hsa:596'],['hsa:581'],['hsa:836'],['hsa:836'],"['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']",['hsa:2308'],['hsa:596'],['hsa:581'],"['hsa:110117499', 'hsa:5290', 'hsa:5291', 'hsa:5293', 'hsa:5295', 'hsa:5296', 'hsa:8503']","['hsa:10000', 'hsa:207', 'hsa:208']","['hsa:4790', 'hsa:5970']",['hsa:836'],['hsa:3717'],['hsa:6774'],['hsa:5292'],['hsa:4772'],['hsa:4772'],"['hsa:6772', 'hsa:6774']","['hsa:1277', 'hsa:1278']","['hsa:6776', 'hsa:6777']",['hsa:595'],['hsa:177'],['hsa:5579'],"['hsa:5599', 'hsa:5601', 'hsa:5602']",['hsa:1958'],"['hsa:1432', 'hsa:5600', 'hsa:5603', 'hsa:6300']","['hsa:5599', 'hsa:5601', 'hsa:5602']","['hsa:3552', 'hsa:3553']",['hsa:3569'],['hsa:3576'],['hsa:7124'],['hsa:2152'],['hsa:1906'],['hsa:7056'],['hsa:185']
prot1,"['TGFB2', 'TGFB3']",['TGFB1'],['TGFBR1'],"['SMAD2', 'SMAD3']",['AGTR1'],['AGTR1'],"['[Protein]-N(epsilon)-(carboxymethyl)lysine;', '[Protein]-N(epsilon)-(carboxyethyl)lysine;', '[Protein]-pyrraline;', '[Protein]-pentosidine;']",['AGER'],['AGER'],"['PLCD3', 'PLCB1', 'PLCE1', 'PLCB2', 'PLCB3', 'PLCB4', 'PLCD1', 'PLCG1', 'PLCG2', 'PLCD4;']","['PLCD3', 'PLCB1', 'PLCE1', 'PLCB2', 'PLCB3', 'PLCB4', 'PLCD1', 'PLCG1', 'PLCG2', 'PLCD4;']",['Diacylglycerol;'],['Calcium'],"['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']","['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']","['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']","['MAPK1', 'MAPK3']","['MAPK1', 'MAPK3']","['MAPK1', 'MAPK3']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK8', 'MAPK9', 'MAPK10']","['MAPK8', 'MAPK9', 'MAPK10']",['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],"['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']","['NFKB1', 'RELA']",['AGER'],['DIAPH1'],"['RAC1', 'CDC42']",['AGER'],"['HRAS', 'KRAS', 'NRAS']","['HRAS', 'KRAS', 'NRAS']","['RAC1', 'CDC42']","['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']",['N-Acylsphingosine;'],"['MAPK8', 'MAPK9', 'MAPK10']","['MAPK8', 'MAPK9', 'MAPK10']","['MAPK8', 'MAPK9', 'MAPK10']",['BCL2'],['BAX'],['NOS3'],"['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']",['AGER'],"['P3R3URF-PIK3R3', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3']","['AKT3', 'AKT1', 'AKT2']","['P3R3URF-PIK3R3', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3']",['AGER'],['JAK2'],['STAT3'],['PIM1'],['STAT3'],['JAK2'],"['STAT1', 'STAT3']",['JAK2'],"['STAT5A', 'STAT5B']","['[Protein]-N(epsilon)-(carboxymethyl)lysine;', '[Protein]-N(epsilon)-(carboxyethyl)lysine;', '[Protein]-pyrraline;', '[Protein]-pentosidine;']",['AGER'],['PRKCB'],"['MAPK8', 'MAPK9', 'MAPK10']",['N-Acylsphingosine;'],['NOS3'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['JUN'],['AGT']
prot2,['TGFBR2'],['TGFBR2'],"['SMAD2', 'SMAD3']",['SMAD4'],"['TGFB2', 'TGFB3']",['TGFB1'],['AGER'],"['CYBB', 'NOX1', 'NOX4']","['PLCD3', 'PLCB1', 'PLCE1', 'PLCB2', 'PLCB3', 'PLCB4', 'PLCD1', 'PLCG1', 'PLCG2', 'PLCD4;']",['Diacylglycerol;'],['D-myo-Inositol'],"['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']","['PRKCA', 'PRKCB', 'PRKCD', 'PRKCE', 'PRKCZ']","['MAPK1', 'MAPK3']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK8', 'MAPK9', 'MAPK10']",['JUN'],"['NFKB1', 'RELA']","['SMAD2', 'SMAD3']",['JUN'],"['NFKB1', 'RELA']","['SMAD2', 'SMAD3']",['JUN'],"['NFKB1', 'RELA']",['TGFB1'],['AGER'],"['VEGFD', 'VEGFA', 'VEGFB', 'VEGFC']",['CCL2'],['SERPINE1'],['SELE'],['VCAM1'],['ICAM1'],['MMP2'],['AGER'],"['VEGFD', 'VEGFA', 'VEGFB', 'VEGFC']",['CCL2'],['SERPINE1'],['SELE'],['VCAM1'],['ICAM1'],['MMP2'],"['IL1A', 'IL1B']",['IL6'],['CXCL8'],['TNF'],['F3'],['EDN1'],['THBD'],['DIAPH1'],"['RAC1', 'CDC42']","['MAPK8', 'MAPK9', 'MAPK10']","['CYBB', 'NOX1', 'NOX4']","['MAPK1', 'MAPK3']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['CYBB', 'NOX1', 'NOX4']","['MAPK8', 'MAPK9', 'MAPK10']",['FOXO1'],['BCL2'],['BAX'],['CASP3'],['CASP3'],"['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']",['FOXO1'],['BCL2'],['BAX'],"['P3R3URF-PIK3R3', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3']","['AKT3', 'AKT1', 'AKT2']","['NFKB1', 'RELA']",['CASP3'],['JAK2'],['STAT3'],['PIM1'],['NFATC1'],['NFATC1'],"['STAT1', 'STAT3']","['COL1A1', 'COL1A2']","['STAT5A', 'STAT5B']",['CCND1'],['AGER'],['PRKCB'],"['MAPK8', 'MAPK9', 'MAPK10']",['EGR1'],"['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']","['MAPK8', 'MAPK9', 'MAPK10']","['IL1A', 'IL1B']",['IL6'],['CXCL8'],['TNF'],['F3'],['EDN1'],['THBD'],['AGTR1']
