exchange,flux
EX_12dgr180_m,0.42802646557692015
EX_26dap_M_m,3.3513553454842686
EX_4abz_m,0.24523739527346322
EX_adocbl_m,45.464587429543286
EX_alagln_m,33.33333333333333
EX_alahis_m,41.7962498024814
EX_alaleu_m,25.405810392380104
EX_alathr_m,5.208508986341521
EX_arg_L_m,0.1
EX_ca2_m,0.19537273200333843
EX_cgly_m,0.16349159684899917
EX_chol_m,12.0
EX_cl_m,0.19537273200332425
EX_cobalt2_m,0.1953727320033067
EX_cu2_m,0.19537273200333938
EX_cytd_m,1.0308731333216201
EX_dgsn_m,0.7722767951285903
EX_duri_m,0.668627648769899
EX_fe2_m,0.031881135154364415
EX_fe3_m,0.4406101272768026
EX_glcn_m,33.33333333333333
EX_glyasn_m,3.054360814717029
EX_glyc3p_m,38.29898343624668
EX_glycys_m,1.2545231586442926
EX_glyphe_m,1.8140222205386394
EX_glytyr_m,34.476582254206306
EX_k_m,0.19537273200333938
EX_lac_L_m,2.5
EX_lcts_m,15.16833575128286
EX_lys_L_m,6.271610755977601
EX_metala_m,4.02981228094799
EX_mg2_m,0.19537273200333938
EX_mn2_m,0.19537273200332098
EX_mnl_m,33.33333333333333
EX_mqn8_m,0.3907454640066864
EX_ncam_m,0.22725386715812115
EX_no3_m,33.33333333333333
EX_o2_m,0.2
EX_pheme_m,0.19537273200333283
EX_pnto_R_m,0.3269831936979628
EX_pydx_m,0.08174579842448537
EX_pydxn_m,0.03188113515436208
EX_q8_m,0.11362693357882847
EX_ribflv_m,0.3269831936979395
EX_so4_m,0.19537273200332425
EX_spmd_m,0.19537273200333516
EX_thm_m,0.163491596848921
EX_trp_L_m,1.047066785728787
EX_ura_m,2.425448304398202
EX_uri_m,0.9351936923432973
EX_xan_m,1.718518279537458
EX_zn2_m,0.19537273200333516
EX_34dhpha_m,33.33333333333333
EX_bocbnleu_m,33.33333333333333
EX_cholate_m,23.440653325197445
EX_gchola_m,16.271016019747396
EX_neopront_m,33.33333333333333
EX_nmn_m,0.16349159684875758
EX_ocdca_m,0.7072905481576102
EX_sheme_m,0.11362693357884832
EX_tsul_m,0.4557566054393405
EX_ttdca_m,0.2577972778254558
EX_amylopect900_m,0.2358738488831888
EX_amylose300_m,0.33333333333333326
EX_dsT_antigen_m,16.666666666666664
EX_eltr_m3_m,0.01594056757718102
EX_gncore2_m,22.49134377174427
